Country Name,Country Code,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021
Cuba,CUB,6104.46105236166,6470.83673392653,6828.36428245396,7146.70459051328,7727.91997207998,8110.55873961397,8610.60829531998,8911.46205964193,9232.26115935183,9605.26125067263,
Curacao,CUW,19426.326382752,19809.8223198624,19721.2921646576,19623.029993395,19361.8130008678,18944.0961493998,18938.2440469703,19119.1243941688,19220.6866958303,16356.0933594414,17980.0888397547
Cayman Islands,CYM,75280.960764889,75101.59136128,75113.7332398618,75845.3060407986,76379.2095108681,77802.2541567187,80053.9444506891,83865.5531568184,88254.2903677044,82338.7982853661,86438.445257404
Cyprus,CYP,32485.796875,28991.935546875,27797.45703125,27244.3515625,23487.228515625,24715.154296875,26696.990234375,29599.986328125,29703.052734375,28649.015625,33734.29296875
Czechia,CZE,22049.1080788682,20014.0354015165,20260.4954999375,20038.4163180257,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544
Germany,DEU,47646.582043143,44735.5882319701,47220.0102098851,48971.0824722599,41911.0109851054,42961.0356905775,45526.5999576533,48874.8595028454,47623.8656074829,47379.765194548,52265.6541620571
Djibouti,DJI,1306.34552844977,1400.19357858954,2074.29668941495,2208.67810285113,2376.12554719873,2510.4300076241,2618.95521147369,2718.0853229414,2837.17103336917,2881.99924450145,3019.69343880209
Dominica,DMA,7255.67210585964,7031.39987118111,7147.61954093518,7395.30259658718,7679.83293618857,8278.44768597003,7614.34028048137,8137.56520624242,9009.09011545429,7461.77933220095,8262.65091316727
Denmark,DNK,61809.737898222,58443.7747103968,61377.5940590412,62520.4509747011,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69727.9873677012
Dominican Republic,DOM,5834.70590719826,6025.72582713231,6149.02748927076,6512.50771431953,6819.93225155181,7174.82349574,7499.69286187019,7934.98141208525,8164.22080932117,7162.29175242114,8472.47982000992
Algeria,DZA,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925
