Code,Year,HealthSystem_Score
SYC,2014,100
SLE,2014,20
ZAF,2014,100
SSD,2014,100
SWZ,2014,40
TGO,2014,80
TZA,2014,60
ZMB,2014,100
ZWE,2014,80
ATG,2014,100
ARG,2014,100
BHS,2014,40
BRB,2014,80
BOL,2014,20
BRA,2014,100
CAN,2014,100
CHL,2014,60
COL,2014,80
CRI,2014,80
CUB,2014,100
DMA,2014,20
DOM,2014,100
ECU,2014,80
SLV,2014,100
GTM,2014,40
GUY,2014,100
HTI,2014,40
HND,2014,40
JAM,2014,20
MEX,2014,100
NIC,2014,100
PAN,2014,40
PER,2014,80
LCA,2014,40
VCT,2014,20
SUR,2014,40
TTO,2014,20
USA,2014,100
VEN,2014,100
AFG,2014,20
BHR,2014,60
DJI,2014,0
EGY,2014,100
IRN,2014,100
IRQ,2014,100
JOR,2014,80
KWT,2014,60
LBN,2014,60
LBY,2014,60
MAR,2014,100
OMN,2014,100
PAK,2014,60
QAT,2014,100
SAU,2014,100
SOM,2014,0
SDN,2014,80
SYR,2014,20
TUN,2014,40
ARE,2014,80
YEM,2014,100
AND,2014,0
ARM,2014,80
AUT,2014,100
AZE,2014,100
BLR,2014,100
BEL,2014,60
BIH,2014,20
BGR,2014,0
HRV,2014,40
CYP,2014,0
CZE,2014,60
DNK,2014,40
EST,2014,40
FIN,2014,80
FRA,2014,60
GEO,2014,60
DEU,2014,100
HUN,2014,0
ISL,2014,60
KAZ,2014,100
LVA,2014,60
LIE,2014,0
LTU,2014,0
LUX,2014,40
MLT,2014,0
MCO,2014,20
MNE,2014,20
NLD,2014,60
NOR,2014,100
POL,2014,0
PRT,2014,60
MDA,2014,20
ROU,2014,40
RUS,2014,80
SRB,2014,0
SVK,2014,100
SVN,2014,20
ESP,2014,100
SWE,2014,100
CHE,2014,20
TJK,2014,100
MKD,2014,60
TUR,2014,100
TKM,2014,100
UZB,2014,100
BGD,2014,100
BTN,2014,100
PRK,2014,40
IND,2014,100
IDN,2014,80
MDV,2014,40
MMR,2014,100
NPL,2014,60
LKA,2014,80
THA,2014,100
TLS,2014,40
AUS,2014,100
BRN,2014,100
KHM,2014,0
CHN,2014,100
FJI,2014,100
JPN,2014,100
KIR,2014,40
LAO,2014,100
MYS,2014,100
FSM,2014,60
MNG,2014,0
NRU,2014,20
NZL,2014,100
NIU,2014,20
PLW,2014,100
PNG,2014,60
PHL,2014,80
KOR,2014,100
WSM,2014,80
SGP,2014,100
SLB,2014,40
VNM,2014,80
AFG,2015,40
DZA,2015,60
AND,2015,0
ATG,2015,100
ARG,2015,100
ARM,2015,80
AUS,2015,100
AUT,2015,100
BHS,2015,40
BHR,2015,60
BGD,2015,100
BRB,2015,80
BEL,2015,60
BLZ,2015,40
BTN,2015,100
BOL,2015,40
BIH,2015,20
BWA,2015,100
BRA,2015,100
BRN,2015,100
BDI,2015,20
KHM,2015,0
CAN,2015,100
TCD,2015,20
CHL,2015,40
CHN,2015,100
COL,2015,60
COK,2015,60
CRI,2015,80
HRV,2015,40
CUB,2015,100
CZE,2015,60
PRK,2015,20
COD,2015,100
DNK,2015,40
DMA,2015,40
DOM,2015,40
ECU,2015,80
SLV,2015,100
ERI,2015,60
EST,2015,40
SWZ,2015,40
ETH,2015,100
FIN,2015,80
FRA,2015,60
GEO,2015,40
GRD,2015,60
GTM,2015,100
GIN,2015,80
GNB,2015,40
GUY,2015,100
HTI,2015,40
HND,2015,60
HUN,2015,40
IDN,2015,80
IRN,2015,100
ISR,2015,0
JAM,2015,60
JPN,2015,100
KAZ,2015,100
KWT,2015,60
LAO,2015,100
LVA,2015,60
LBY,2015,60
LIE,2015,0
LTU,2015,0
LUX,2015,40
MYS,2015,100
MDV,2015,40
MRT,2015,0
MUS,2015,40
MEX,2015,100
FSM,2015,60
MNG,2015,100
MNE,2015,20
MOZ,2015,60
MMR,2015,100
NPL,2015,80
NLD,2015,60
NZL,2015,100
NIC,2015,100
NER,2015,100
NGA,2015,60
MKD,2015,60
NOR,2015,100
OMN,2015,100
PLW,2015,100
PAN,2015,40
